م,العملاء,,رصيد العملاء,,م,الموردين,,رصيد الموردين,,,,,,7726759.37,0
4,مورد,شركة مكة,شراء,صويا معبأ,9.73,27500,معبأ(فاضل 120.14 طن ),تحصيل,267575,46144,,السبت,,,
9,مورد,شركة مكة,تحويل بنكي,,1,50000,,سداد,50000,46145,,الأحد,,,
12,مورد,شركة مكة,تحويل بنكي,,1,250000,,سداد,250000,46145,,الأحد,,,
8,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46146,,الإثنين,,,
9,مورد,شركة مكة,شراء,صويا صب,10.64,27250,صب(فاضل 109.50 طن ),تحصيل,289940,46146,,الإثنين,,,
8,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46147,,الثلاثاء,,,
11,مورد,شركة مكة,شراء,صويا صب,10.6,27250,صب(فاضل 98.90 طن ),تحصيل,288850,46147,,الثلاثاء,,,
13,مورد,شركة مكة,شراء,صويا صب,10.68,27250,صب(فاضل 88.22 طن ),تحصيل,291030,46147,,الثلاثاء,,,
15,مورد,شركة مكة,شراء,صويا صب,10.68,27250,صب(فاضل 77.54 طن ),تحصيل,291030,46147,,الثلاثاء,,,
10,مورد,شركة مكة,شراء,صويا معبأ,9.94,27500,معبأ(فاضل 67.60 طن ),تحصيل,273350,46148,,الأربعاء,,,
12,مورد,شركة مكة,شراء,صويا صب,11.19,27250,صب(فاضل 56.41 طن ),تحصيل,304927.5,46148,,الأربعاء,,,
16,مورد,شركة مكة,تحويل بنكي,,1,100000,,سداد,100000,46148,,الأربعاء,,,
18,مورد,شركة مكة,تحويل بنكي,,1,150000,,سداد,150000,46148,,الأربعاء,,,
2,مورد,شركة مكة,شراء,صويا معبأ,8.3,27500,معبأ(فاضل 48.11 طن ),تحصيل,228250,46151,,السبت,,,
,مورد,شركة مكة,تحويل بنكي,,1,250000,,سداد,250000,46152,,الأحد,,,
,مورد,شركة مكة,تحويل بنكي,,1,200000,,سداد,200000,46152,,الأحد,,,
,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46153,,الإثنين,,,
8,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46154,,الثلاثاء,,,
8,مورد,شركة مكة,تحويل بنكي,,1,250000,,سداد,250000,46155,,الأربعاء,,,
10,مورد,شركة مكة,شراء,صويا صب,9.77,27250,صب(فاضل 38.34 طن ),تحصيل,266232.5,46156,,الخميس,,,
13,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46156,,الخميس,,,
14,مورد,شركة مكة,شراء,صويا معبأ,10.29,27500,معبأ(فاضل 28.05 طن ),تحصيل,282975,46156,,الخميس,,,
2,مورد,شركة مكة,شراء,صويا معبأ,10.72,27500,معبأ(فاضل 17.33 طن ),تحصيل,294800,46158,,السبت,,,
11,مورد,شركة مكة,شراء,صويا صب,10.57,27250,صب(فاضل 6.76 طن ),تحصيل,288032.5,46159,,الأحد,,,
13,مورد,شركة مكة,شراء,صويا صب,6.76,27250,صب(فاضل 0.00 طن ),تحصيل,184210,46159,,الأحد,,,
14,مورد,شركة مكة,شراء,صويا صب,3.69,23750,صب(فاضل 196.31 طن ),تحصيل,87637.5,46159,,الأحد,,,
16,مورد,شركة مكة,شراء,صويا صب,10.67,23750,صب(فاضل 185.64 طن ),تحصيل,253412.5,46159,,الأحد,,,
18,مورد,شركة مكة,شراء,صويا صب,10.84,23750,صب(فاضل 174.80 طن ),تحصيل,257450,46159,,الأحد,,,
22,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46159,,الأحد,,,
11,مورد,شركة مكة,شراء,صويا صب,9.74,23750,صب(فاضل 165.06 طن ),تحصيل,231325,46160,,الإثنين,,,
13,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46160,,الإثنين,,,
3,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46161,,الثلاثاء,,,
3,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46162,,الأربعاء,,,
6,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46163,,الخميس,,,
4,مورد,شركة مكة,بيع,صويا صب,73.21,23750,صب(فاضل 91.85 طن ),تحصيل,1738737.5,46166,,الأحد,,,
4,مورد,شركة مكة,شراء,صويا معبأ,10.2,24000,معبأ(فاضل 81.65 طن ),تحصيل,244800,46166,,الأحد,,,
11,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46166,,الأحد,,,
9,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46167,,الإثنين,,,
10,مورد,شركة مكة,شراء,صويا معبأ,8.2,24000,معبأ(فاضل 73.45 طن ),تحصيل,196800,46174,,الإثنين,,,
12,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46174,,الإثنين,,,
17,مورد,شركة مكة,شراء,صويا معبأ,9.44,24000,معبأ(فاضل 64.01 طن ),تحصيل,226560,46174,,الإثنين,,,
2,مورد,شركة مكة,شراء,صويا صب,63.62,23750,صب(فاضل 0.39 طن ),تحصيل,1510975,46175,,الثلاثاء,,,
6,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46175,,الثلاثاء,,,
2,مورد,شركة مكة,شراء,صويا صب,53.72,22850,عقد جرار,تحصيل,1227502,46176,,الأربعاء,,,
6,مورد,شركة مكة,تحويل بنكي,,1,450000,,سداد,450000,46176,,الأربعاء,,,
6,مورد,شركة مكة,تحويل بنكي,,1,500000,,سداد,500000,46177,,الخميس,,,
9,مورد,شركة مكة,شراء,صويا معبأ,8.91,23100,عقد 2 جامبو(1),تحصيل,205821,46177,,الخميس,,,
28,مورد,شركة مكة,شراء,صويا معبأ,8.03,23100,عقد 2 جامبو(2),تحصيل,185493,46177,,الخميس,,,
8,مورد,شركة مكة,شراء,صويا صب,50.85,22650,صب(فاضل 29.15 طن ),تحصيل,1151752.5,46179,,السبت,,,
14,مورد,شركة مكة,شراء,صويا معبأ,9.64,22900,معبأ(فاضل 19.51 طن ),تحصيل,220756,46180,,الأحد,,,
16,مورد,شركة مكة,تحويل بنكي,,1,750000,,سداد,750000,46180,,الأحد,,,
5,مورد,شركة مكة,شراء,صويا صب,19.51,22650,صب(فاضل 0 طن ),تحصيل,441901.5,46181,,الإثنين,,,
6,مورد,شركة مكة,شراء,صويا صب,50.92,22500,صب(فاضل 99.08 طن ),تحصيل,1145700,46181,,الإثنين,,,
