م,العملاء,,رصيد العملاء,,م,الموردين,,رصيد الموردين,,,,,,169.5,0
9,عميل,سبيدة,بيع,ذرة,15.18,14150,,تحصيل,214797,46151,,السبت,,,
,عميل,سبيدة,بيع,ذرة,15.37,14050,,تحصيل,215948.5,46153,,الإثنين,,,
,عميل,سبيدة,تحويل بنكي,,1,250000,,سداد,250000,46153,,الإثنين,,,
18,عميل,سبيدة,تحويل بنكي,,1,120000,,سداد,120000,46156,,الخميس,,,
7,عميل,سبيدة,بيع,ذرة,67.57,14000,,تحصيل,945980,46166,,الأحد,,,
7,عميل,سبيدة,تحويل بنكي,,1,800000,,سداد,800000,46167,,الإثنين,,,
10,عميل,سبيدة,تحويل بنكي,,1,206700,,سداد,206700,46175,,الثلاثاء,,,
12,عميل,سبيدة,بيع,ذرة,16.42,13800,,تحصيل,226596,46179,,السبت,,,
17,عميل,سبيدة,بيع,ذرة,26.92,13800,,تحصيل,371496,46181,,الإثنين,,,
22,عميل,سبيدة,تحويل بنكي,,1,598000,,سداد,598000,46181,,الإثنين,,,
6,عميل,سبيدة,بيع,ذرة,16.38,13400,,تحصيل,219492,46190,,الأربعاء,,,
13,عميل,سبيدة,تحويل بنكي,,1,219500,,سداد,219500,46194,,الأحد,,,
